,HeadLine,Sentiment,Tickers,Sector,Industery,Change,Date,URL
0,"Expeditors GAAP EPS of $2.05 beats by $0.26, revenue of $4.7B beats by $440M",-1,EXPD,Industrials,Integrated Freight & Logistics,0.9488265310405142,2022-05-03T08:36:34-04:00,https://seekingalpha.com/news/3830926-expeditors-gaap-eps-of-2_05-beats-0_26-revenue-of-4_7b-beats-440m
1,"Standard Motor Products Non-GAAP EPS of $0.92, revenue of $322.8M",1,SMP,Consumer Cyclical,Auto Parts,0.25773338698458215,2022-05-03T08:36:14-04:00,https://seekingalpha.com/news/3830925-standard-motor-products-non-gaap-eps-of-092-revenue-of-3228m
2,KKR Q1 earnings top consensus as fundraising and AUM climb,-1,KKR,Financial Services,Asset Management,3.865013456593136,2022-05-03T08:34:21-04:00,https://seekingalpha.com/news/3830924-kkr-q1-earnings-beat-fundraising-aum-climb
3,"National Retail Properties FFO of $0.77 beats by $0.03, revenue of $190.28M beats by $3.65M",1,NNN,Real Estate,REIT—Retail,-2.326643371837356,2022-05-03T08:33:56-04:00,https://seekingalpha.com/news/3830923-national-retail-properties-ffo-of-0_77-beats-0_03-revenue-of-190_28m-beats-3_65m
4,"Franklin Resources Non-GAAP EPS of $0.96 beats by $0.15, revenue of $2.08B in-line",-1,BEN,Financial Services,Asset Management,3.0093524462230903,2022-05-03T08:33:27-04:00,https://seekingalpha.com/news/3830922-franklin-resources-non-gaap-eps-of-096-beats-by-015-revenue-of-208b-in-line
5,Commvault CFO Brian Carolan to resign,-1,CVLT,Technology,Software—Application,-0.4590143922899581,2022-05-03T08:33:11-04:00,https://seekingalpha.com/news/3830921-commvault-cfo-brian-carolan-to-resign
6,"Equinix acquires four data centers in Chile, expansion continues in Latin America",1,EQIX,Real Estate,REIT—Specialty,-2.321021589356853,2022-05-03T08:32:15-04:00,https://seekingalpha.com/news/3830920-equinix-acquires-four-data-centers-in-chile-expansion-continues-in-latin-america
7,"MFGP, API and AQST among pre market gainers",0,,,,,2022-05-03T08:31:18-04:00,https://seekingalpha.com/news/3830917-mfgp-api-and-aqst-among-pre-market-gainers
8,Fannie Mae sees lower amortization income on softer refi activity,1,FNMA,Financial Services,Mortgage Finance,1.3333320617675781,2022-05-03T08:30:41-04:00,https://seekingalpha.com/news/3830915-fannie-mae-sees-lower-amortization-income-on-softer-refi-activity
9,"GAAP EPS of -$23.35, revenue of $4.2M",0,SATL,Technology,Scientific & Technical Instruments,-2.597400184666032,2022-05-03T08:25:14-04:00,https://seekingalpha.com/news/3830913-gaap-eps-of-23_35-revenue-of-4_2m
