,HeadLine,Sentiment,Tickers,Sector,Industery,Change,Date,URL
0,Asia-Pacific stocks mixed; China’s April trade data comes in above expectations,-1,,,,,2022-05-09T01:29:57-04:00,https://seekingalpha.com/news/3834737-asia-pacific-stocks-mixed-chinas-april-trade-data-comes-in-above-expectations
1,Honda China's April sales volumes decline double-digit in April on COVID-related disruptions,-1,"HMC, HNDAF",Consumer Cyclical,Auto Manufacturers,1.2523716088373327,2022-05-09T00:49:35-04:00,https://seekingalpha.com/news/3834736-honda-chinas-april-sales-volumes-decline-double-digit-in-april-on-covid-related-disruptions
2,Rate lock volumes plunged in April as mortgage rates keep climbing,-1,,,,,2022-05-09T00:01:00-04:00,https://seekingalpha.com/news/3834674-rate-lock-volumes-plunged-in-april-as-mortgage-rates-keep-climbing
3,"Lockheed seeking to double output of Javelin anti-tank missiles, CEO says",1,LMT,Industrials,Aerospace & Defense,1.4171271275621011,2022-05-08T23:42:59-04:00,https://seekingalpha.com/news/3834734-lockheed-seeking-to-double-output-of-javelin-anti-tank-missiles-ceo-says
4,Notable earnings after Monday's close,0,,,,,2022-05-08T17:35:08-04:00,https://seekingalpha.com/news/3834732-notable-earnings-after-mondays-close
5,"'Bridgerton' stays atop streaming list, though Netflix adds 'Saul'",0,"NFLX, DIS",Communication Services,Entertainment,-3.902934270208258,2022-05-08T16:01:00-04:00,https://seekingalpha.com/news/3834700-bridgerton-stays-atop-streaming-list-though-netflix-adds-saul
6,Hospitals seek price hikes to offset rising nursing costs - WSJ,-1,HCA,Healthcare,Medical Care Facilities,1.4095203299421266,2022-05-08T15:46:00-04:00,https://seekingalpha.com/news/3834733-hospitals-seek-price-hikes-to-offset-rising-nursing-costs-wsj
7,Tracking COVID-19's path through life insurers' Q1 results,-1,UNM,Financial Services,Insurance—Life,13.788785794167735,2022-05-08T10:26:00-04:00,https://seekingalpha.com/news/3834642-tracking-covid-19s-path-through-life-insurers-q1-results
8,"Apple cuts trade-in values for Macs, iPads and Apple Watches ahead of expected refresh",-1,AAPL,Technology,Consumer Electronics,0.4727163625793729,2022-05-08T10:00:00-04:00,https://seekingalpha.com/news/3834359-apple-cut-the-trade-in-values-for-macs-ipads-and-apple-watches-ahead-of-expected-refresh
9,"Third Point increased Shell stake in Q1, added Glencore long position",1,"SHEL, GLCNF",,,1.3347421049532127,2022-05-08T08:37:00-04:00,https://seekingalpha.com/news/3834720-third-point-increased-shell-stake-in-q1-adds-glencore-long-position
10,Ford and another unnamed investor reportedly plan to dump up to 23M Rivian shares,-1,"F, RIVN",Consumer Cyclical,Auto Manufacturers,-2.2023379263943266,2022-05-07T23:20:27-04:00,https://seekingalpha.com/news/3834721-ford-and-other-unnamed-investor-to-sell-up-to-23-million-rivian-shares
11,Energy up nearly 50% YTD as crude oil climbs to $110 per barrel,-1,"XLE, MTR, IAG",,,2.980627950740944,2022-05-07T19:30:00-04:00,https://seekingalpha.com/news/3834695-energy-up-nearly-50-ytd-as-crude-oil-climbs-to-110-per-barrel
12,Canada's antitrust regulator plans to block Rogers $16B takeover of Shaw,-1,"SJR, RCI",Communication Services,Telecom Services,0.9345810435026136,2022-05-07T16:02:55-04:00,https://seekingalpha.com/news/3834719-canadas-antitrust-regulator-plans-to-block-rogers-16b-takeover-of-shaw
13,"Pinterest, defensive telecoms lead the week's gainers in Communications stocks",-1,"PINS, LUMN, DISH, NWSA",Communication Services,Internet Content & Information,0.2651408551310963,2022-05-07T16:01:00-04:00,https://seekingalpha.com/news/3834697-pinterest-defensive-telecoms-lead-the-weeks-gainers-in-communications-stocks
14,Teladoc is down 78% over the last year. Can it recover as COVID concerns subside?,-1,TDOC,Healthcare,Health Information Services,-6.0393196722874904,2022-05-07T16:00:00-04:00,https://seekingalpha.com/news/3834692-teladoc-is-down-78-over-the-last-year-can-it-recover-as-covid-concerns-subside
15,"Earnings play kingmaker as Atkore races to top industrial gainer, Bloom Energy picks #1 loser tag",-1,"ATKR, BE",Industrials,Electrical Equipment & Parts,1.6392003087527973,2022-05-07T12:35:58-04:00,https://seekingalpha.com/news/3834717-earnings-play-kingmaker-as-atkore-races-to-top-industrial-gainer-bloom-energy-picks-1-loser-tag
16,"California dreaming for DraftKings, FanDuel and Barstool with sports betting teed up on the ballot",-1,DKNG,Consumer Cyclical,Gambling,-8.93351800096649,2022-05-07T11:15:00-04:00,https://seekingalpha.com/news/3834718-california-dreaming-for-draftkings-fanduel-and-barstool-with-sports-betting-teed-up-on-the-ballot
17,"Financial exchanges' April trading volume strengthened Y/Y, as investors scramble for yield",1,"CME, ICE, MKTX, TW",Financial Services,Financial Data & Stock Exchanges,-1.3597829498650738,2022-05-07T11:13:00-04:00,https://seekingalpha.com/news/3834063-financial-exchanges-april-trading-volume-strengthened-as-volatility-becomes-new-normal
18,Apartment REITs saw a drop last month amid April national multifamily rent growth trends showing slowdown,-1,,,,,2022-05-07T11:07:00-04:00,https://seekingalpha.com/news/3834535-apartment-reits-saw-a-drop-last-month-amid-april-national-multifamily-rent-growth-trends-showing-slowdown
19,AMLP and YINN among ETF weekly movers,0,,,,,2022-05-07T10:30:43-04:00,https://seekingalpha.com/news/3834703-amlp-and-yinn-among-etf-weekly-movers
20,"Unum leads week's gainers, while ICE falls after $13B deal: Financials roundup",-1,UNM,Financial Services,Insurance—Life,13.788785794167735,2022-05-07T10:10:00-04:00,https://seekingalpha.com/news/3834696-unum-leads-weeks-gainers-while-ice-falls-after-13b-deal-financials-roundup
21,Tech Roundup: Elon Musk's Twitter deal keeps making waves,0,"TWTR, AAPL, MSFT, ROKU",Communication Services,Internet Content & Information,-1.1119963592214677,2022-05-07T10:00:00-04:00,https://seekingalpha.com/news/3834545-tech-roundup-elon-musks-twitter-deal-keeps-making-waves
