,HeadLine,Sentiment,Tickers,Sector,Industery,Change,Date,URL
0,"Canfor Non-GAAP EPS of C$4.25, revenue of C$2.21B",0,CFPZF,Basic Materials,Lumber & Wood Production,-1.6129005047725853,2022-05-03T08:52:45-04:00,https://seekingalpha.com/news/3830946-canfor-non-gaap-eps-of-c425-revenue-of-c221b
1,Atrium Mortgage Investment declares CAD 0.075 dividend,1,AMIVF,Financial Services,Mortgage Finance,0.0,2022-05-03T08:52:09-04:00,https://seekingalpha.com/news/3830919-atrium-mortgage-investment-declares-cad-0075-dividend
2,BNCCORP declares $1.75 special dividend,0,,,,,2022-05-03T08:51:46-04:00,https://seekingalpha.com/news/3830813-bnccorp-declares-175-special-dividend
3,SFLMaven reports 10% price growth in April's sales,1,SFLM,Healthcare,Drug Manufacturers—Specialty & Generic,-11.11111182972422,2022-05-03T08:50:39-04:00,https://seekingalpha.com/news/3830945-sflmaven-reports-10-price-growth-in-aprils-sales
4,ABVC BioPharma enters into $3M clinical services contract with NeuCen BioMed,1,ABVC,Healthcare,Biotechnology,0.20919982438827311,2022-05-03T08:50:35-04:00,https://seekingalpha.com/news/3830944-abvc-biopharma-enters-into-3m-clinical-services-contract-with-neucen-biomed
5,Netflix rises even as Benchmark remains 'skeptical' of recovery in stock price,1,NFLX,Communication Services,Entertainment,4.780419244766887,2022-05-03T08:49:13-04:00,https://seekingalpha.com/news/3830941-netflix-rises-even-as-benchmark-remains-skeptical-of-recovery-in-stock-price
6,Biogen earnings falls short of consensus amid Aduhelm write-offs,-1,BIIB,Healthcare,Drug Manufacturers—General,-0.05784569792481875,2022-05-03T08:48:44-04:00,https://seekingalpha.com/news/3830942-biogen-earnings-falls-short-of-consensus-amid-aduhelm-write-offs
7,Seritage Growth signs lease with Amazon at California-based The Collection,1,SRG,Real Estate,REIT—Retail,-1.0100952691779574,2022-05-03T08:47:57-04:00,https://seekingalpha.com/news/3830940-seritage-growth-signs-lease-with-amazon-at-california-based-the-collection
8,BrightSpire Capital reports Q1 results,0,BRSP,Real Estate,REIT—Diversified,-1.6470628626206296,2022-05-03T08:47:45-04:00,https://seekingalpha.com/news/3830939-brightspire-capital-reports-q1-results
9,"Hot Stocks: PARA, LOGI, DD drop on earnings news; NTR climbs on raised guidance",-1,PARA,,,3.9491744003691043,2022-05-03T08:46:52-04:00,https://seekingalpha.com/news/3830936-hot-stocks-para-logi-dd-drop-on-earnings-news-ntr-climbs-on-raised-guidance
10,Baxter raises dividend by 4% to $0.29,1,BAX,Healthcare,Medical Instruments & Supplies,-0.6332633882672689,2022-05-03T08:46:06-04:00,https://seekingalpha.com/news/3830874-baxter-raises-dividend-by-4-to-029
11,Beam Global reports record Q1 deliveries,1,BEEM,Technology,Solar,6.023324379047756,2022-05-03T08:45:54-04:00,https://seekingalpha.com/news/3830938-beam-global-reports-record-q1-deliveries
12,"Expion360 secures $300,000 financing to expand sales and more",1,XPON,,,-6.406685921236466,2022-05-03T08:43:57-04:00,https://seekingalpha.com/news/3830937-expion360-secures-300000-financing-to-expand-sales-and-more
13,Home Depot is going to play venture capitalist to look for the next big thing in retail,1,HD,Consumer Cyclical,Home Improvement Retail,2.1870863707416532,2022-05-03T08:42:07-04:00,https://seekingalpha.com/news/3830935-home-depot-is-going-to-play-venture-capitalist-to-look-for-the-next-big-thing-in-retail
14,Tarsus Pharmaceuticals prices upsized $75.6M stock offering,0,TARS,Healthcare,Biotechnology,-23.539047469439968,2022-05-03T08:41:49-04:00,https://seekingalpha.com/news/3830934-tarsus-pharmaceuticals-prices-upsized-756m-stock-offering
15,LifeWorks reports Q1 results,1,MSIXF,Technology,Software—Application,0.0,2022-05-03T08:41:32-04:00,https://seekingalpha.com/news/3830933-lifeworks-and-nbsp-reports-q1-results
16,Spero stock crashes 70% on potential FDA rejection of uti drug tebipenem; to cut workforce by ~75%,1,SPRO,Healthcare,Biotechnology,4.732510550512403,2022-05-03T08:40:46-04:00,https://seekingalpha.com/news/3830928-spero-stock-crashes-70-on-potential-fda-rejection-of-uti-drug-tebipenem-to-cut-workforce-by-75
17,Nano Dimension sees Q1 revenue of $10.5M,1,NNDM,Technology,Computer Hardware,3.8732442548886192,2022-05-03T08:40:29-04:00,https://seekingalpha.com/news/3830932-nano-dimension-sees-q1-revenue-of-105m
18,SOL Global continues additional payoff to $50M credit facility,-1,SOLCF,Financial Services,Asset Management,-6.015035010633973,2022-05-03T08:40:11-04:00,https://seekingalpha.com/news/3830930-sol-global-continues-additional-payoff-to-50m-credit-facility
19,"Billionaire hedge fund manager Paul Tudor Jones says don't own stocks, bonds now",-1,,,,,2022-05-03T08:38:57-04:00,https://seekingalpha.com/news/3830929-billionaire-hedge-fund-manager-paul-tudor-jones-says-dont-own-stocks-bonds-now
20,Standard Motor Products declares $0.27 dividend,1,SMP,Consumer Cyclical,Auto Parts,0.25773338698458215,2022-05-03T08:38:53-04:00,https://seekingalpha.com/news/3830918-standard-motor-products-declares-027-dividend
21,"CNH Industrial GAAP EPS of $0.24 in-line, revenue of $4.6B misses by $70M",1,CNHI,Industrials,Farm & Heavy Construction Machinery,1.6913370816745044,2022-05-03T08:36:40-04:00,https://seekingalpha.com/news/3830927-cnh-industrial-gaap-eps-of-0_24-in-line-revenue-of-4_6b-misses-70m
22,"Expeditors GAAP EPS of $2.05 beats by $0.26, revenue of $4.7B beats by $440M",-1,EXPD,Industrials,Integrated Freight & Logistics,0.9488265310405142,2022-05-03T08:36:34-04:00,https://seekingalpha.com/news/3830926-expeditors-gaap-eps-of-2_05-beats-0_26-revenue-of-4_7b-beats-440m
23,"Standard Motor Products Non-GAAP EPS of $0.92, revenue of $322.8M",1,SMP,Consumer Cyclical,Auto Parts,0.25773338698458215,2022-05-03T08:36:14-04:00,https://seekingalpha.com/news/3830925-standard-motor-products-non-gaap-eps-of-092-revenue-of-3228m
24,KKR Q1 earnings top consensus as fundraising and AUM climb,-1,KKR,Financial Services,Asset Management,3.865013456593136,2022-05-03T08:34:21-04:00,https://seekingalpha.com/news/3830924-kkr-q1-earnings-beat-fundraising-aum-climb
25,"National Retail Properties FFO of $0.77 beats by $0.03, revenue of $190.28M beats by $3.65M",1,NNN,Real Estate,REIT—Retail,-2.326643371837356,2022-05-03T08:33:56-04:00,https://seekingalpha.com/news/3830923-national-retail-properties-ffo-of-0_77-beats-0_03-revenue-of-190_28m-beats-3_65m
26,"Franklin Resources Non-GAAP EPS of $0.96 beats by $0.15, revenue of $2.08B in-line",-1,BEN,Financial Services,Asset Management,3.0093524462230903,2022-05-03T08:33:27-04:00,https://seekingalpha.com/news/3830922-franklin-resources-non-gaap-eps-of-096-beats-by-015-revenue-of-208b-in-line
27,Commvault CFO Brian Carolan to resign,-1,CVLT,Technology,Software—Application,-0.4590143922899581,2022-05-03T08:33:11-04:00,https://seekingalpha.com/news/3830921-commvault-cfo-brian-carolan-to-resign
28,"Equinix acquires four data centers in Chile, expansion continues in Latin America",1,EQIX,Real Estate,REIT—Specialty,-2.321021589356853,2022-05-03T08:32:15-04:00,https://seekingalpha.com/news/3830920-equinix-acquires-four-data-centers-in-chile-expansion-continues-in-latin-america
29,"MFGP, API and AQST among pre market gainers",0,,,,,2022-05-03T08:31:18-04:00,https://seekingalpha.com/news/3830917-mfgp-api-and-aqst-among-pre-market-gainers
