,HeadLine,Sentiment,Tickers,Sector,Industery,Change,Date,URL
0,Rate lock volumes plunged in April as mortgage rates keep climbing,-1,,,,,2022-05-09T00:01:00-04:00,https://seekingalpha.com/news/3834674-rate-lock-volumes-plunged-in-april-as-mortgage-rates-keep-climbing
1,"Lockheed seeking to double output of Javelin anti-tank missiles, CEO says",1,LMT,Industrials,Aerospace & Defense,1.4171271275621011,2022-05-08T23:42:59-04:00,https://seekingalpha.com/news/3834734-lockheed-seeking-to-double-output-of-javelin-anti-tank-missiles-ceo-says
2,Notable earnings after Monday's close,0,,,,,2022-05-08T17:35:08-04:00,https://seekingalpha.com/news/3834732-notable-earnings-after-mondays-close
3,"'Bridgerton' stays atop streaming list, though Netflix adds 'Saul'",0,"NFLX, DIS",Communication Services,Entertainment,-3.902934270208258,2022-05-08T16:01:00-04:00,https://seekingalpha.com/news/3834700-bridgerton-stays-atop-streaming-list-though-netflix-adds-saul
4,Hospitals seek price hikes to offset rising nursing costs - WSJ,-1,HCA,Healthcare,Medical Care Facilities,1.4095203299421266,2022-05-08T15:46:00-04:00,https://seekingalpha.com/news/3834733-hospitals-seek-price-hikes-to-offset-rising-nursing-costs-wsj
5,Tracking COVID-19's path through life insurers' Q1 results,-1,UNM,Financial Services,Insurance—Life,13.788785794167735,2022-05-08T10:26:00-04:00,https://seekingalpha.com/news/3834642-tracking-covid-19s-path-through-life-insurers-q1-results
6,"Apple cuts trade-in values for Macs, iPads and Apple Watches ahead of expected refresh",-1,AAPL,Technology,Consumer Electronics,0.4727163625793729,2022-05-08T10:00:00-04:00,https://seekingalpha.com/news/3834359-apple-cut-the-trade-in-values-for-macs-ipads-and-apple-watches-ahead-of-expected-refresh
7,"Third Point increased Shell stake in Q1, added Glencore long position",1,"SHEL, GLCNF",Energy,Oil & Gas Integrated,1.3347421049532127,2022-05-08T08:37:00-04:00,https://seekingalpha.com/news/3834720-third-point-increased-shell-stake-in-q1-adds-glencore-long-position
8,Ford and another unnamed investor reportedly plan to dump up to 23M Rivian shares,-1,"F, RIVN",Consumer Cyclical,Auto Manufacturers,-2.2023379263943266,2022-05-07T23:20:27-04:00,https://seekingalpha.com/news/3834721-ford-and-other-unnamed-investor-to-sell-up-to-23-million-rivian-shares
9,Energy up nearly 50% YTD as crude oil climbs to $110 per barrel,-1,"XLE, MTR, IAG",,,2.980627950740944,2022-05-07T19:30:00-04:00,https://seekingalpha.com/news/3834695-energy-up-nearly-50-ytd-as-crude-oil-climbs-to-110-per-barrel
