,HeadLine,Sentiment,Date,URL
0,Appaloosa's David Tepper: `Central banks have a little bit of a credibility problem',-1,2022-05-06T16:22:45-04:00,https://seekingalpha.com/news/3834643-appaloosas-david-tepper-central-bans-have-a-little-bit-of-credibility-problem
1,Consumer credit expands well above expectations in March,1,2022-05-06T15:02:50-04:00,https://seekingalpha.com/news/3834551-consumer-credit-expands-well-above-expectations-in-march
2,"Fed's Kashkari says 'we are close to neutral,' while Powell assures opposite",1,2022-05-06T11:30:10-04:00,https://seekingalpha.com/news/3834358-feds-kashkari-says-we-are-close-to-neutral-while-powell-assures-opposite
3,Galaxy Digital's Mike Novogratz:`We are not going to get a soft landing',-1,2022-05-06T09:59:35-04:00,https://seekingalpha.com/news/3834312-galaxy-digitals-mike-novogratz-we-are-not-going-to-get-a-soft-landing
4,"U.S. economy adds a healthy 428K jobs in April, unemployment rate stays at 3.6%",-1,2022-05-06T08:31:29-04:00,https://seekingalpha.com/news/3834260-us-economy-adds-428k-jobs-in-april-unemployment-rate-stays-at-36
5,"Job growth expected to moderate in April, but still show strong labor market",-1,2022-05-05T16:00:01-04:00,https://seekingalpha.com/news/3833617-number-of-jobs-expected-to-moderate-in-april-but-show-strong-labor-market
6,US natural gas inventory builds slightly less than estimates,0,2022-05-05T11:40:18-04:00,https://seekingalpha.com/news/3833493-us-natural-gas-inventory-builds-higher-than-expected
7,Mortgage rates continue rising after prior week's flat rates,1,2022-05-05T10:20:22-04:00,https://seekingalpha.com/news/3833436-mortgage-rates-continue-rising-after-prior-weeks-flat-rates
8,"Q1 productivity drops 7.5%, the biggest decline 1947",-1,2022-05-05T08:31:45-04:00,https://seekingalpha.com/news/3833301-productivity-drops-more-than-expected-in-q1-while-labor-costs-climb-higher
9,Jobless claims up 19K to 200K,-1,2022-05-05T08:30:44-04:00,https://seekingalpha.com/news/3833300-jobless-claims-up-19k-to-200k
10,Challenger: April job cuts of 24.286K jobs,-1,2022-05-05T07:30:21-04:00,https://seekingalpha.com/news/3833196-challenger-april-job-cuts-of-24286k-jobs
11,"The Fed is still hawkish, but Powell dialed down the fear factor",-1,2022-05-05T03:51:42-04:00,https://seekingalpha.com/news/3832996-tfed-is-still-hawkish-but-powell-dialed-down-the-fear-factor
12,Fed Watch: U.S. Treasury yields fall as Powell throws water on 75-basis-point increases,-1,2022-05-04T15:12:18-04:00,https://seekingalpha.com/news/3831804-fed-watch-first-50-basis-half-point-hike-in-22-years-priced-in
13,Powell press conference: 50 bps rate increases on table for 'next couple meetings',-1,2022-05-04T14:37:02-04:00,https://seekingalpha.com/news/3832411-fed-to-consider-50-bps-rate-hikes-at-next-few-meetings-powell-press-conference
14,"Federal Reserve hikes rate by 50 bps, to start shrinking balance sheet in June",-1,2022-05-04T14:00:57-04:00,https://seekingalpha.com/news/3832320-federal-reserve-hikes-rate-by-50-bps-to-start-qt-in-june
15,Biden to discuss additional sanctions on Russia with G-7 leaders this week,1,2022-05-04T11:27:36-04:00,https://seekingalpha.com/news/3832081-biden-to-discuss-additional-sanctions-on-russia-with-g-7-leaders-this-week
16,EIA inventory report - Crude inventory rises unexpectedly,0,2022-05-04T10:30:23-04:00,https://seekingalpha.com/news/3832062-eia-inventory-report-
17,PMI Composite Final comes in higher from consensus and lower M/M,1,2022-05-04T10:05:10-04:00,https://seekingalpha.com/news/3832040-pmi-composite-final-comes-in-higher-from-consensus-and-lower-mm
18,ISM Services PMI expands less than expected in April,1,2022-05-04T10:00:58-04:00,https://seekingalpha.com/news/3832035-ism-services-pmi-expands-less-than-expected-in-april
19,Goods and service trade deficit widens more than expected in March,1,2022-05-04T08:32:20-04:00,https://seekingalpha.com/news/3831972-goods-and-service-trade-deficit-widens-more-than-expected-in-march
20,ADP Jobs gain of 247K falls way short of estimates,-1,2022-05-04T08:15:57-04:00,https://seekingalpha.com/news/3831957-adp-jobs-gain-of-247k
21,"MBA Mortgage Applications see an increase of 2.5%, first time since early March",-1,2022-05-04T07:03:55-04:00,https://seekingalpha.com/news/3831845-mba-mortgage-applications-see-a-increase-of-25
22,Federal Reserve poised for first 50bp rate hike in 22 years: FOMC preview,1,2022-05-03T12:01:30-04:00,https://seekingalpha.com/news/3830390-federal-reserve-poised-half-point-rate-hike
23,Job openings hit all-time high of 11.549M in March; quits rise to high of 4.5M,1,2022-05-03T10:02:43-04:00,https://seekingalpha.com/news/3831013-job-openings-m-in-march
24,Factory orders climb above consensus in March,1,2022-05-03T10:01:02-04:00,https://seekingalpha.com/news/3831011-factory-orders-climb-above-consensus-in-march
25,"Block's Afterpay, Rite Aid partner to offer 'Buy Now, Pay Later' option",0,2022-05-03T09:22:42-04:00,https://seekingalpha.com/news/3830981-blocks-afterpay-rite-aid-partner-to-offer-buy-now-pay-later-option
26,"Billionaire hedge fund manager Paul Tudor Jones says don't own stocks, bonds now",0,2022-05-03T08:38:57-04:00,https://seekingalpha.com/news/3830929-billionaire-hedge-fund-manager-paul-tudor-jones-says-dont-own-stocks-bonds-now
